k,h,E_ANN,lambda,E_rlr,E_base
1.0,1.0,23.817,12.0,21.275,51.369
2.0,1.0,17.591,11.0,18.2,60.76
3.0,1.0,13.453,12.0,13.167,51.862
4.0,1.0,11.721,15.0,14.482,68.614
5.0,1.0,10.69,14.0,12.288,67.909
6.0,1.0,12.081,13.0,13.583,59.514
7.0,2.0,16.765,17.0,17.247,44.541
8.0,1.0,9.54,12.0,10.733,50.65
9.0,1.0,15.953,16.0,17.477,67.209
10.0,1.0,34.02,11.0,38.092,73.909
